feature,importance
A5_Score,0.13544316092296685
A10_Score,0.11684570598789819
A8_Score,0.10129216668132565
A3_Score,0.08514637961934232
A6_Score,0.08192766072856195
age,0.0790430956736485
A4_Score,0.05804185733247109
A2_Score,0.05504225300545444
A7_Score,0.043652710126797105
A9_Score,0.03695963856406293
A1_Score,0.02986923039448921
austim_no,0.02039472323319131
gender_m,0.0201837229882439
relation_Self,0.01911822250080455
austim_yes,0.01813789485742801
gender_f,0.0178024027813755
relation_Parent,0.01582056407787586
jundice_no,0.015056681146112107
relation_Others,0.01303454748011211
jundice_yes,0.012509063056673049
relation_Health care professional,0.008915536011432459
used_app_before_no,0.006780665530774996
used_app_before_yes,0.005132225464047985
relation_Relative,0.0038498918349098555
