feature,importance
A9_Score,0.21468795844929056
A5_Score,0.1379595993299744
A6_Score,0.11610282939105124
A4_Score,0.09586731251016921
A3_Score,0.07627138777650722
A10_Score,0.0643293939778944
A7_Score,0.05373169742003461
age,0.05151571991953843
A1_Score,0.04543280394891303
A2_Score,0.04000048051739579
A8_Score,0.03226570377962628
gender_m,0.01085969594654633
austim_yes,0.00861494921101917
gender_f,0.008519156655429495
austim_no,0.008077521629553091
jundice_no,0.00644742390367766
relation_Self,0.006345611059475946
jundice_yes,0.006340933353375513
relation_Parent,0.005308010486246758
used_app_before_yes,0.0036504304929013682
relation_Relative,0.002738959419539426
used_app_before_no,0.002159187398575769
relation_Health care professional,0.001535273238996287
relation_Others,0.0012379601842680628
