feature,importance
A4_Score,0.18748975055449996
A9_Score,0.09958581138593874
A10_Score,0.08325299455819435
A8_Score,0.07673222052881204
A5_Score,0.07003379800583194
A6_Score,0.06962869976598716
A3_Score,0.06894795616289404
A1_Score,0.06401697213112906
age,0.05574966771169392
A7_Score,0.053644908727494486
A2_Score,0.04214114772619393
jundice_yes,0.018422440358966143
gender_m,0.01534221097526423
jundice_no,0.015109025258272566
gender_f,0.013961266218512
austim_yes,0.012729264016838262
relation_Parent,0.012715989811037387
relation_Relative,0.012359108691945713
austim_no,0.010420581256750472
relation_Health care professional,0.006256457020802389
used_app_before_no,0.00484246772973875
used_app_before_yes,0.003297542803078421
relation_Self,0.0030611806202334012
relation_self,0.0002585379798907817
